,date,timestamp,open,high,low,close,num_trans,volume,vwap
0,2023-01-06 05:00:00,1672981200000,2.32,2.32,2.32,2.32,3,555,2.32
1,2023-01-17 05:00:00,1673931600000,1.53,1.53,1.53,1.53,1,5,1.53
2,2023-01-18 05:00:00,1674018000000,1.2,1.2,1.2,1.2,1,20,1.2
3,2023-01-24 05:00:00,1674536400000,1.5,1.5,1.5,1.5,1,7,1.5
4,2023-01-27 05:00:00,1674795600000,1.7,1.79,1.7,1.79,2,2,1.745
5,2023-01-30 05:00:00,1675054800000,1.74,1.74,1.74,1.74,1,1,1.74
6,2023-02-01 05:00:00,1675227600000,2.26,2.43,2.26,2.26,3,3,2.3167
7,2023-02-03 05:00:00,1675400400000,4.14,4.14,4.14,4.14,1,2,4.14
8,2023-02-06 05:00:00,1675659600000,3.16,3.33,3.16,3.33,2,2,3.245
9,2023-02-07 05:00:00,1675746000000,4.04,4.25,4.04,4.25,3,4,4.1225
10,2023-03-17 04:00:00,1679025600000,3.15,3.15,3.15,3.15,1,10,3.15
11,2023-03-20 04:00:00,1679284800000,2.75,2.76,2.75,2.76,4,5,2.758
12,2023-03-22 04:00:00,1679457600000,3.38,3.38,3.38,3.38,1,10,3.38
13,2023-03-23 04:00:00,1679544000000,3.46,3.46,3.46,3.46,1,1,3.46
14,2023-04-04 04:00:00,1680580800000,4.62,4.62,4.62,4.62,2,5,4.62
15,2023-04-13 04:00:00,1681358400000,3.2,3.2,3.2,3.2,1,1,3.2
16,2023-04-14 04:00:00,1681444800000,3.46,3.46,3.46,3.46,1,1,3.46
17,2023-04-17 04:00:00,1681704000000,3.62,3.62,3.08,3.16,3,3,3.2867
18,2023-04-20 04:00:00,1681963200000,2.95,2.95,2.87,2.87,2,2,2.91
19,2023-04-21 04:00:00,1682049600000,2.64,2.64,2.64,2.64,1,1,2.64
20,2023-04-24 04:00:00,1682308800000,2.29,2.29,2.29,2.29,1,20,2.29
21,2023-04-27 04:00:00,1682568000000,2.58,2.74,2.58,2.73,14,127,2.7283
22,2023-05-01 04:00:00,1682913600000,3.02,3.02,3.02,3.02,1,8,3.02
23,2023-05-03 04:00:00,1683086400000,2.95,2.95,2.95,2.95,1,1,2.95
24,2023-05-04 04:00:00,1683172800000,2.54,2.54,2.54,2.54,1,1,2.54
25,2023-05-05 04:00:00,1683259200000,2.69,3.02,2.69,3.02,3,5,2.946
26,2023-05-08 04:00:00,1683518400000,3.02,3.02,3.02,3.02,1,1,3.02
27,2023-05-11 04:00:00,1683777600000,3.36,3.36,3.36,3.36,1,1,3.36
28,2023-05-12 04:00:00,1683864000000,3.3,3.3,2.86,2.86,4,6,3.105
29,2023-05-15 04:00:00,1684123200000,3.04,3.04,2.9,2.95,3,22,2.9518
30,2023-05-17 04:00:00,1684296000000,3.47,3.47,3.47,3.47,1,1,3.47
31,2023-05-18 04:00:00,1684382400000,4.37,4.58,4.37,4.5,4,13,4.4885
32,2023-05-19 04:00:00,1684468800000,4.8,4.8,4.51,4.51,2,2,4.655
33,2023-05-23 04:00:00,1684814400000,4.37,4.37,4.37,4.37,1,1,4.37
34,2023-05-26 04:00:00,1685073600000,6.25,8.94,6.25,8.67,6,21,7.3733
35,2023-05-30 04:00:00,1685419200000,10.05,10.08,9.26,9.78,6,18,9.7667
36,2023-05-31 04:00:00,1685505600000,9.19,9.19,8.51,8.51,3,3,8.7367
37,2023-06-01 04:00:00,1685592000000,8.49,9.48,8.49,9.48,4,4,8.8975
38,2023-06-02 04:00:00,1685678400000,10.85,10.85,10.44,10.44,2,11,10.4773
39,2023-06-05 04:00:00,1685937600000,10.58,11.25,10.58,11.25,3,4,10.8775
40,2023-06-06 04:00:00,1686024000000,9.62,9.62,9.62,9.62,1,2,9.62
41,2023-06-07 04:00:00,1686110400000,7.88,7.88,7.34,7.39,10,26,7.5392
42,2023-06-08 04:00:00,1686196800000,7.64,8.48,7.64,8.48,5,6,8.1867
43,2023-06-09 04:00:00,1686283200000,9.45,10.3,9.45,10.3,5,5,9.81
44,2023-06-12 04:00:00,1686542400000,9.77,11.24,9.77,11.24,4,9,10.6944
45,2023-06-13 04:00:00,1686628800000,12.0,12.6,12.0,12.0,6,26,12.0231
46,2023-06-14 04:00:00,1686715200000,13.99,13.99,13.17,13.17,2,2,13.58
47,2023-06-15 04:00:00,1686801600000,13.75,16.78,13.74,16.7,6,17,15.4829
48,2023-06-16 04:00:00,1686888000000,16.34,16.34,15.33,15.33,3,8,16.1575
49,2023-06-20 04:00:00,1687233600000,14.15,14.15,14.15,14.15,1,1,14.15
50,2023-06-21 04:00:00,1687320000000,14.22,14.22,12.34,12.34,6,6,12.9917
51,2023-06-23 04:00:00,1687492800000,11.83,11.83,11.83,11.83,1,1,11.83
52,2023-06-26 04:00:00,1687752000000,11.69,11.69,10.4,10.54,4,8,10.7163
53,2023-06-27 04:00:00,1687838400000,10.35,12.1,10.35,11.96,3,7,11.33
54,2023-06-29 04:00:00,1688011200000,11.62,11.62,11.62,11.62,1,1,11.62
55,2023-06-30 04:00:00,1688097600000,13.4,14.07,13.4,14.07,2,2,13.735
56,2023-07-03 04:00:00,1688356800000,13.61,13.92,13.61,13.92,2,2,13.765
57,2023-07-05 04:00:00,1688529600000,15.08,15.08,15.08,15.08,1,1,15.08
58,2023-07-06 04:00:00,1688616000000,12.87,13.15,12.09,12.87,19,36,12.8522
59,2023-07-07 04:00:00,1688702400000,12.8,14.0,12.5,13.49,36,61,13.2703
60,2023-07-10 04:00:00,1688961600000,12.31,12.31,12.31,12.31,1,1,12.31
61,2023-07-11 04:00:00,1689048000000,12.19,12.55,11.5,11.93,18,108,12.0399
62,2023-07-12 04:00:00,1689134400000,14.35,14.85,14.21,14.85,3,25,14.7044
63,2023-07-13 04:00:00,1689220800000,15.93,17.85,15.92,17.85,9,18,17.12
64,2023-07-14 04:00:00,1689307200000,19.37,19.69,18.58,18.58,4,4,19.29
65,2023-07-17 04:00:00,1689566400000,18.69,18.77,18.69,18.77,3,3,18.7167
66,2023-07-18 04:00:00,1689652800000,18.8,21.4,18.09,21.09,19,139,20.2076
67,2023-07-19 04:00:00,1689739200000,22.24,22.24,22.02,22.02,2,2,22.13
68,2023-07-20 04:00:00,1689825600000,18.87,18.87,16.33,16.33,7,8,17.8663
69,2023-07-21 04:00:00,1689912000000,16.02,16.02,16.02,16.02,1,2,16.02
70,2023-07-24 04:00:00,1690171200000,14.94,14.94,14.94,14.94,1,1,14.94
71,2023-07-25 04:00:00,1690257600000,16.89,16.89,16.81,16.81,2,2,16.85
72,2023-07-26 04:00:00,1690344000000,15.1,15.91,15.1,15.91,3,4,15.3875
73,2023-07-27 04:00:00,1690430400000,18.92,18.92,15.67,15.67,3,7,16.3171
74,2023-07-28 04:00:00,1690516800000,17.15,19.1,17.15,19.1,2,5,17.54
75,2023-07-31 04:00:00,1690776000000,19.2,19.2,19.2,19.2,3,3,19.2
76,2023-08-01 04:00:00,1690862400000,18.25,18.53,18.25,18.53,2,251,18.2511
77,2023-08-02 04:00:00,1690948800000,15.63,15.63,14.9,14.9,6,9,15.0789
78,2023-08-03 04:00:00,1691035200000,14.2,14.94,14.2,14.94,5,8,14.5925
79,2023-08-04 04:00:00,1691121600000,15.17,15.17,13.74,13.74,4,7,14.0343
80,2023-08-08 04:00:00,1691467200000,12.9,12.9,12.48,12.84,5,16,12.6238
81,2023-08-09 04:00:00,1691553600000,11.06,11.53,11.06,11.51,6,129,11.4173
82,2023-08-10 04:00:00,1691640000000,10.93,11.14,10.93,11.09,3,6,11.08
83,2023-08-11 04:00:00,1691726400000,10.0,10.0,9.71,9.98,4,6,9.8967
84,2023-08-15 04:00:00,1692072000000,10.31,10.31,10.31,10.31,1,1,10.31
85,2023-08-16 04:00:00,1692158400000,9.62,9.7,8.65,8.65,28,256,9.418
86,2023-08-17 04:00:00,1692244800000,8.17,8.17,7.51,7.51,3,7,8.0029
87,2023-08-18 04:00:00,1692331200000,6.61,6.86,6.55,6.86,7,70,6.8274
88,2023-08-21 04:00:00,1692590400000,7.34,8.75,7.2,8.59,14,39,8.1195
89,2023-08-22 04:00:00,1692676800000,8.82,8.82,8.82,8.82,1,1,8.82
