,date,timestamp,open,high,low,close,num_trans,volume,vwap
0,2023-04-13 04:00:00,1681358400000,15.15,15.15,15.15,15.15,1,1,15.15
1,2023-04-14 04:00:00,1681444800000,13.23,13.23,13.02,13.02,2,3,13.09
2,2023-05-03 04:00:00,1683086400000,13.45,13.45,13.45,13.45,1,2,13.45
3,2023-05-04 04:00:00,1683172800000,15.23,15.24,15.23,15.24,2,2,15.235
4,2023-05-08 04:00:00,1683518400000,13.3,13.3,13.3,13.3,1,1,13.3
5,2023-05-09 04:00:00,1683604800000,13.4,13.4,13.4,13.4,1,1,13.4
6,2023-05-17 04:00:00,1684296000000,9.96,9.96,9.96,9.96,1,1,9.96
7,2023-05-26 04:00:00,1685073600000,7.78,7.78,7.78,7.78,1,2,7.78
8,2023-06-02 04:00:00,1685678400000,7.3,7.3,7.3,7.3,1,1,7.3
9,2023-06-22 04:00:00,1687406400000,5.2,5.2,5.2,5.2,1,1,5.2
10,2023-06-30 04:00:00,1688097600000,4.55,4.55,4.55,4.55,1,1,4.55
11,2023-07-10 04:00:00,1688961600000,4.57,4.57,4.57,4.57,1,2,4.57
12,2023-07-14 04:00:00,1689307200000,5.75,5.75,5.75,5.75,2,2,5.75
13,2023-07-18 04:00:00,1689652800000,6.6,6.6,6.6,6.6,1,2,6.6
14,2023-07-19 04:00:00,1689739200000,6.35,6.35,6.35,6.35,1,1,6.35
15,2023-07-24 04:00:00,1690171200000,5.4,5.4,5.15,5.15,2,27,5.1685
16,2023-07-31 04:00:00,1690776000000,5.55,5.6,5.3,5.3,10,124,5.404
17,2023-08-01 04:00:00,1690862400000,4.6,4.6,4.6,4.6,3,41,4.6
18,2023-08-07 04:00:00,1691380800000,3.85,3.85,3.85,3.85,1,31,3.85
19,2023-08-09 04:00:00,1691553600000,3.55,3.55,3.31,3.34,16,402,3.4345
20,2023-08-10 04:00:00,1691640000000,3.2,3.2,3.2,3.2,1,1,3.2
21,2023-08-11 04:00:00,1691726400000,3.2,3.2,3.2,3.2,2,4,3.2
22,2023-08-15 04:00:00,1692072000000,2.76,2.76,2.76,2.76,2,2,2.76
23,2023-08-16 04:00:00,1692158400000,2.33,2.33,2.33,2.33,2,20,2.33
24,2023-08-17 04:00:00,1692244800000,2.26,2.26,2.16,2.16,15,76,2.1797
25,2023-08-28 04:00:00,1693195200000,2.81,2.81,2.8,2.8,2,2,2.805
26,2023-08-31 04:00:00,1693454400000,3.05,3.05,3.03,3.03,2,21,3.049
27,2023-09-01 04:00:00,1693540800000,2.91,2.92,2.91,2.92,2,2,2.915
28,2023-09-05 04:00:00,1693886400000,2.41,2.44,2.35,2.35,5,7,2.4057
29,2023-09-06 04:00:00,1693972800000,2.2,2.2,2.2,2.2,1,33,2.2
30,2023-09-07 04:00:00,1694059200000,2.11,2.11,2.11,2.11,1,1,2.11
31,2023-09-08 04:00:00,1694145600000,2.12,2.12,2.12,2.12,1,6,2.12
32,2023-09-11 04:00:00,1694404800000,2.19,2.19,2.19,2.19,1,6,2.19
33,2023-09-12 04:00:00,1694491200000,1.72,1.75,1.71,1.71,3,8,1.7225
34,2023-09-14 04:00:00,1694664000000,1.51,1.51,1.51,1.51,1,1,1.51
35,2023-09-15 04:00:00,1694750400000,1.98,1.98,1.98,1.98,4,20,1.98
36,2023-09-19 04:00:00,1695096000000,1.9,1.94,1.9,1.94,2,2,1.92
37,2023-09-21 04:00:00,1695268800000,1.56,1.56,1.56,1.56,1,1,1.56
38,2023-09-27 04:00:00,1695787200000,0.9,0.9,0.9,0.9,1,2,0.9
39,2023-09-28 04:00:00,1695873600000,0.73,0.73,0.73,0.73,1,50,0.73
40,2023-09-29 04:00:00,1695960000000,0.8,0.8,0.65,0.65,7,74,0.6728
41,2023-10-02 04:00:00,1696219200000,0.48,0.48,0.48,0.48,1,65,0.48
42,2023-10-03 04:00:00,1696305600000,0.48,0.48,0.48,0.48,1,1,0.48
43,2023-10-05 04:00:00,1696478400000,0.45,0.45,0.45,0.45,1,1,0.45
44,2023-10-10 04:00:00,1696910400000,0.71,0.71,0.7,0.7,2,2,0.705
45,2023-10-13 04:00:00,1697169600000,1.5,2.68,1.5,2.68,4,4,2.2225
46,2023-10-16 04:00:00,1697428800000,2.09,2.09,1.99,1.99,8,94,2.0838
47,2023-10-17 04:00:00,1697515200000,2.01,2.2,1.88,1.88,8,78,2.155
48,2023-10-18 04:00:00,1697601600000,3.12,3.4,3.12,3.15,4,79,3.1513
49,2023-10-19 04:00:00,1697688000000,3.73,3.98,3.73,3.98,2,12,3.7717
50,2023-10-20 04:00:00,1697774400000,4.24,4.75,4.24,4.7,10,58,4.4264
51,2023-10-23 04:00:00,1698033600000,3.45,3.47,3.45,3.47,2,2,3.46
52,2023-10-25 04:00:00,1698206400000,3.15,3.69,3.15,3.62,6,45,3.5491
53,2023-10-26 04:00:00,1698292800000,3.61,3.62,3.49,3.49,26,70,3.5837
54,2023-10-27 04:00:00,1698379200000,3.23,4.73,3.23,4.7,26,81,4.2033
55,2023-10-30 04:00:00,1698638400000,3.9,3.96,3.82,3.85,5,15,3.8907
56,2023-10-31 04:00:00,1698724800000,4.2,4.2,4.2,4.2,1,1,4.2
