,date,timestamp,open,high,low,close,num_trans,volume,vwap
0,2023-01-10 05:00:00,1673326800000,10.55,10.55,10.45,10.45,3,90,10.5167
1,2023-01-25 05:00:00,1674622800000,12.52,12.52,12.52,12.52,1,3,12.52
2,2023-02-02 05:00:00,1675314000000,10.45,10.45,10.45,10.45,1,2,10.45
3,2023-02-22 05:00:00,1677042000000,6.5,6.5,6.5,6.5,4,14,6.5
4,2023-02-23 05:00:00,1677128400000,6.45,6.45,6.45,6.45,1,6,6.45
5,2023-02-27 05:00:00,1677474000000,6.04,6.04,6.0,6.0,2,2,6.02
6,2023-03-01 05:00:00,1677646800000,6.75,6.75,6.6,6.6,2,2,6.675
7,2023-03-02 05:00:00,1677733200000,6.65,6.65,6.65,6.65,1,2,6.65
8,2023-03-03 05:00:00,1677819600000,6.6,6.7,6.6,6.7,5,50,6.68
9,2023-03-13 04:00:00,1678680000000,9.99,10.1,9.99,10.1,3,11,10.0
10,2023-03-15 04:00:00,1678852800000,11.0,11.0,10.27,10.27,2,3,10.7567
11,2023-03-20 04:00:00,1679284800000,13.99,13.99,13.97,13.97,2,2,13.98
12,2023-03-21 04:00:00,1679371200000,12.56,12.56,11.28,11.28,3,5,11.61
13,2023-03-22 04:00:00,1679457600000,13.18,13.18,11.97,11.97,2,2,12.575
14,2023-03-23 04:00:00,1679544000000,14.86,14.86,14.6,14.6,3,20,14.73
15,2023-03-24 04:00:00,1679630400000,14.5,14.5,14.5,14.5,1,1,14.5
16,2023-03-27 04:00:00,1679889600000,11.55,11.89,11.55,11.89,2,4,11.72
17,2023-03-30 04:00:00,1680148800000,12.6,12.98,12.6,12.98,2,20,12.79
18,2023-04-03 04:00:00,1680494400000,13.18,13.3,13.18,13.3,3,9,13.24
19,2023-04-04 04:00:00,1680580800000,13.35,15.8,13.35,15.8,10,23,15.4783
20,2023-04-05 04:00:00,1680667200000,15.85,15.85,15.45,15.45,4,22,15.8159
21,2023-04-06 04:00:00,1680753600000,14.7,14.7,14.7,14.7,3,5,14.7
22,2023-04-10 04:00:00,1681099200000,13.7,13.7,13.7,13.7,1,1,13.7
23,2023-04-11 04:00:00,1681185600000,14.29,14.3,14.29,14.3,2,2,14.295
24,2023-04-13 04:00:00,1681358400000,16.9,16.9,16.35,16.35,2,2,16.625
25,2023-04-17 04:00:00,1681704000000,13.65,13.65,13.0,13.0,4,5,13.2
26,2023-04-18 04:00:00,1681790400000,13.35,13.35,13.35,13.35,1,1,13.35
27,2023-04-28 04:00:00,1682654400000,12.3,12.3,12.3,12.3,1,1,12.3
28,2023-05-04 04:00:00,1683172800000,16.88,16.88,16.88,16.88,1,1,16.88
29,2023-05-05 04:00:00,1683259200000,13.1,13.1,13.08,13.08,2,3,13.0867
30,2023-05-16 04:00:00,1684209600000,12.0,12.0,11.6,11.6,4,5,11.77
31,2023-05-18 04:00:00,1684382400000,9.62,9.62,9.45,9.55,3,3,9.54
32,2023-05-19 04:00:00,1684468800000,9.7,9.7,9.7,9.7,1,3,9.7
33,2023-05-24 04:00:00,1684900800000,9.7,9.7,9.7,9.7,2,50,9.7
34,2023-05-25 04:00:00,1684987200000,8.8,8.8,8.8,8.8,2,2,8.8
35,2023-05-30 04:00:00,1685419200000,9.21,9.21,9.21,9.21,1,1,9.21
36,2023-06-01 04:00:00,1685592000000,9.85,9.85,9.85,9.85,1,1,9.85
37,2023-06-05 04:00:00,1685937600000,7.84,7.84,7.84,7.84,1,1,7.84
38,2023-06-07 04:00:00,1686110400000,7.52,7.52,7.52,7.52,1,10,7.52
39,2023-07-03 04:00:00,1688356800000,5.35,5.6,5.35,5.6,3,3,5.4833
40,2023-07-12 04:00:00,1689134400000,6.45,6.45,6.45,6.45,1,2,6.45
41,2023-07-13 04:00:00,1689220800000,6.7,6.7,6.7,6.7,3,10,6.7
42,2023-07-17 04:00:00,1689566400000,6.1,6.1,6.1,6.1,1,2,6.1
43,2023-07-24 04:00:00,1690171200000,6.25,6.25,6.25,6.25,1,2,6.25
44,2023-08-04 04:00:00,1691121600000,4.9,4.9,4.9,4.9,1,1,4.9
45,2023-08-07 04:00:00,1691380800000,4.7,4.7,4.7,4.7,1,1,4.7
46,2023-08-08 04:00:00,1691467200000,4.2,4.2,4.2,4.2,1,1,4.2
47,2023-08-14 04:00:00,1691985600000,3.3,3.3,3.3,3.3,1,1,3.3
48,2023-08-17 04:00:00,1692244800000,2.8,2.8,2.58,2.58,3,12,2.6983
49,2023-08-18 04:00:00,1692331200000,2.63,2.63,2.63,2.63,1,1,2.63
50,2023-08-28 04:00:00,1693195200000,3.21,3.21,3.17,3.17,2,2,3.19
51,2023-08-29 04:00:00,1693281600000,3.45,3.45,3.45,3.45,1,9,3.45
52,2023-09-05 04:00:00,1693886400000,2.94,2.94,2.94,2.94,1,1,2.94
53,2023-09-06 04:00:00,1693972800000,2.62,2.62,2.62,2.62,1,2,2.62
54,2023-09-07 04:00:00,1694059200000,2.7,2.7,2.56,2.56,3,20,2.627
55,2023-09-13 04:00:00,1694577600000,1.97,1.97,1.97,1.97,1,6,1.97
56,2023-09-14 04:00:00,1694664000000,1.79,1.94,1.79,1.94,2,3,1.84
57,2023-09-18 04:00:00,1695009600000,2.59,2.59,2.59,2.59,1,1,2.59
58,2023-09-20 04:00:00,1695182400000,2.86,2.86,2.86,2.86,1,1,2.86
59,2023-09-21 04:00:00,1695268800000,2.14,2.14,2.14,2.14,1,1,2.14
60,2023-09-25 04:00:00,1695614400000,1.85,1.91,1.85,1.85,7,85,1.8695
61,2023-09-26 04:00:00,1695700800000,1.59,1.65,1.55,1.55,7,49,1.6171
62,2023-09-27 04:00:00,1695787200000,1.25,1.25,1.13,1.13,4,96,1.1596
63,2023-09-28 04:00:00,1695873600000,0.94,0.94,0.91,0.94,5,15,0.9347
64,2023-09-29 04:00:00,1695960000000,0.95,0.95,0.73,0.73,6,21,0.891
65,2023-10-02 04:00:00,1696219200000,0.6,0.62,0.6,0.62,3,67,0.603
66,2023-10-03 04:00:00,1696305600000,0.65,0.65,0.65,0.65,1,8,0.65
67,2023-10-04 04:00:00,1696392000000,0.59,0.59,0.59,0.59,1,2,0.59
68,2023-10-05 04:00:00,1696478400000,0.55,0.56,0.55,0.56,3,6,0.5517
69,2023-10-06 04:00:00,1696564800000,0.65,0.65,0.65,0.65,3,5,0.65
70,2023-10-09 04:00:00,1696824000000,0.9,1.03,0.9,1.03,3,22,0.9114
71,2023-10-10 04:00:00,1696910400000,0.89,0.95,0.89,0.95,4,8,0.905
