,date,timestamp,open,high,low,close,num_trans,volume,vwap
0,2023-10-04 04:00:00,1696392000000,5.07,5.07,5.07,5.07,1,4,5.07
1,2023-10-05 04:00:00,1696478400000,4.9,4.9,4.9,4.9,1,4,4.9
2,2023-10-06 04:00:00,1696564800000,6.95,6.95,6.95,6.95,1,1,6.95
3,2023-10-10 04:00:00,1696910400000,8.92,8.93,8.09,8.09,7,39,8.7123
4,2023-10-12 04:00:00,1697083200000,8.9,9.1,7.86,7.86,6,16,8.5625
5,2023-10-13 04:00:00,1697169600000,7.1,7.1,6.54,6.54,4,23,7.0204
6,2023-10-18 04:00:00,1697601600000,5.76,5.76,5.43,5.61,3,8,5.6025
7,2023-10-19 04:00:00,1697688000000,5.83,5.83,4.81,4.81,5,16,5.1081
8,2023-10-20 04:00:00,1697774400000,4.23,4.23,3.5,3.6,3,34,4.19
9,2023-10-23 04:00:00,1698033600000,2.9,3.47,2.9,3.37,5,85,3.4566
10,2023-10-24 04:00:00,1698120000000,3.57,4.0,3.57,4.0,3,41,3.6776
11,2023-10-25 04:00:00,1698206400000,3.08,3.08,2.1,2.1,8,27,2.4011
12,2023-10-26 04:00:00,1698292800000,1.91,1.91,1.38,1.46,7,23,1.6583
13,2023-10-27 04:00:00,1698379200000,1.5,1.5,1.4,1.42,4,18,1.4172
14,2023-10-30 04:00:00,1698638400000,1.44,1.44,1.44,1.44,1,1,1.44
15,2023-10-31 04:00:00,1698724800000,1.32,1.32,1.32,1.32,1,1,1.32
