,date,timestamp,open,high,low,close,num_trans,volume,vwap
0,2023-01-03 05:00:00,1672722000000,6.1,6.1,5.79,5.79,2,2,5.945
1,2023-01-04 05:00:00,1672808400000,5.8,6.05,5.8,5.95,4,4,5.95
2,2023-01-06 05:00:00,1672981200000,5.6,5.6,5.6,5.6,1,1,5.6
3,2023-01-10 05:00:00,1673326800000,6.66,6.66,6.66,6.66,1,1,6.66
4,2023-01-12 05:00:00,1673499600000,7.15,7.16,7.12,7.13,5,5,7.138
5,2023-01-17 05:00:00,1673931600000,6.4,6.4,6.4,6.4,1,1,6.4
6,2023-01-19 05:00:00,1674104400000,3.93,4.59,3.93,4.38,3,3,4.3
7,2023-01-20 05:00:00,1674190800000,4.6,4.79,4.6,4.79,2,2,4.695
8,2023-01-23 05:00:00,1674450000000,5.53,6.13,5.53,6.13,21,52,5.9023
9,2023-01-24 05:00:00,1674536400000,5.45,5.76,5.45,5.71,15,42,5.4636
10,2023-01-26 05:00:00,1674709200000,5.5,5.5,5.5,5.5,1,1,5.5
11,2023-01-27 05:00:00,1674795600000,6.35,6.75,6.35,6.75,4,4,6.5625
12,2023-01-30 05:00:00,1675054800000,6.0,6.0,5.15,5.15,6,49,5.9
13,2023-01-31 05:00:00,1675141200000,5.6,6.15,5.6,6.15,10,15,5.736
14,2023-02-01 05:00:00,1675227600000,7.02,7.03,7.02,7.03,4,5,7.026
15,2023-02-02 05:00:00,1675314000000,7.62,9.6,7.62,8.8,17,64,8.3808
16,2023-02-03 05:00:00,1675400400000,9.0,9.0,7.9,8.0,4,26,8.4885
17,2023-02-06 05:00:00,1675659600000,7.03,7.42,7.03,7.42,6,6,7.35
18,2023-02-07 05:00:00,1675746000000,7.18,7.18,7.18,7.18,1,1,7.18
19,2023-02-08 05:00:00,1675832400000,8.05,8.1,8.05,8.1,2,2,8.075
20,2023-02-09 05:00:00,1675918800000,8.1,8.15,7.0,7.0,4,22,7.6009
21,2023-02-13 05:00:00,1676264400000,7.5,8.72,7.5,8.71,7,16,8.3244
22,2023-02-15 05:00:00,1676437200000,8.1,8.1,8.1,8.1,1,1,8.1
23,2023-02-16 05:00:00,1676523600000,7.78,7.78,7.0,7.0,5,14,7.235
24,2023-02-21 05:00:00,1676955600000,5.84,5.84,5.84,5.84,1,1,5.84
25,2023-02-22 05:00:00,1677042000000,4.95,5.21,4.95,5.21,2,41,4.9563
26,2023-02-23 05:00:00,1677128400000,4.28,5.15,4.28,5.15,4,4,4.7875
27,2023-02-24 05:00:00,1677214800000,4.2,4.46,4.1,4.46,8,35,4.342
28,2023-02-27 05:00:00,1677474000000,4.9,4.9,4.32,4.32,2,3,4.7067
29,2023-02-28 05:00:00,1677560400000,4.27,4.41,4.27,4.41,3,5,4.35
30,2023-03-01 05:00:00,1677646800000,3.61,3.61,3.61,3.61,1,1,3.61
31,2023-03-02 05:00:00,1677733200000,3.69,4.19,3.69,4.19,5,17,3.9082
32,2023-03-03 05:00:00,1677819600000,4.27,5.29,4.22,5.29,22,87,4.6415
33,2023-03-06 05:00:00,1678078800000,5.3,5.82,5.09,5.09,11,17,5.4912
34,2023-03-07 05:00:00,1678165200000,5.13,5.13,4.08,4.08,4,4,4.5575
35,2023-03-08 05:00:00,1678251600000,3.9,3.9,3.9,3.9,1,3,3.9
36,2023-03-09 05:00:00,1678338000000,4.18,4.18,3.19,3.2,14,41,3.4422
37,2023-03-10 05:00:00,1678424400000,3.0,3.19,2.32,2.4,20,62,2.715
38,2023-03-13 04:00:00,1678680000000,2.32,2.32,2.32,2.32,2,2,2.32
39,2023-03-14 04:00:00,1678766400000,2.7,2.96,2.48,2.48,11,13,2.7715
40,2023-03-15 04:00:00,1678852800000,2.3,2.37,2.27,2.37,4,56,2.2966
41,2023-03-16 04:00:00,1678939200000,3.28,3.45,3.28,3.42,6,6,3.3467
42,2023-03-17 04:00:00,1679025600000,2.95,2.95,2.95,2.95,1,30,2.95
43,2023-03-20 04:00:00,1679284800000,3.28,3.35,3.25,3.25,8,31,3.279
44,2023-03-21 04:00:00,1679371200000,3.67,3.81,3.45,3.8,16,89,3.6822
45,2023-03-22 04:00:00,1679457600000,3.66,3.99,2.96,2.96,17,120,3.7125
46,2023-03-23 04:00:00,1679544000000,3.05,3.52,3.0,3.08,7,11,3.1527
47,2023-03-24 04:00:00,1679630400000,2.8,3.07,2.8,3.07,3,78,3.0112
48,2023-03-27 04:00:00,1679889600000,3.37,3.37,3.37,3.37,1,1,3.37
49,2023-03-28 04:00:00,1679976000000,2.94,2.94,2.92,2.92,3,4,2.93
50,2023-03-29 04:00:00,1680062400000,3.53,3.78,3.45,3.78,13,20,3.6095
51,2023-03-30 04:00:00,1680148800000,4.33,4.49,4.33,4.35,17,104,4.3701
52,2023-03-31 04:00:00,1680235200000,4.65,5.3,4.65,5.3,44,174,5.0055
53,2023-04-03 04:00:00,1680494400000,5.26,5.63,5.26,5.63,5,22,5.4609
54,2023-04-05 04:00:00,1680667200000,4.63,4.64,4.4,4.5,10,42,4.5752
55,2023-04-06 04:00:00,1680753600000,4.39,4.75,4.39,4.75,3,5,4.532
56,2023-04-10 04:00:00,1681099200000,4.34,4.34,4.19,4.34,78,2152,4.2802
57,2023-04-11 04:00:00,1681185600000,4.85,5.01,4.77,4.77,10,36,4.9936
58,2023-04-12 04:00:00,1681272000000,5.01,5.11,4.26,4.26,12,35,4.6834
59,2023-04-13 04:00:00,1681358400000,4.45,5.26,4.45,5.26,12,43,4.9042
60,2023-04-14 04:00:00,1681444800000,5.41,5.61,4.59,4.94,7,28,4.9054
61,2023-04-18 04:00:00,1681790400000,5.21,5.23,4.8,4.95,8,123,4.8715
62,2023-04-19 04:00:00,1681876800000,4.42,4.78,4.42,4.78,4,5,4.634
63,2023-04-20 04:00:00,1681963200000,4.29,4.3,3.99,4.18,6,16,4.0938
64,2023-04-21 04:00:00,1682049600000,4.06,4.08,3.94,3.98,6,23,4.0161
65,2023-04-24 04:00:00,1682308800000,3.94,3.94,3.9,3.9,2,4,3.91
66,2023-04-25 04:00:00,1682395200000,3.57,3.58,3.25,3.25,12,99,3.2908
67,2023-04-26 04:00:00,1682481600000,3.16,3.17,2.79,2.79,23,90,3.0166
68,2023-04-27 04:00:00,1682568000000,3.2,4.02,3.2,4.02,29,37,3.5197
69,2023-04-28 04:00:00,1682654400000,4.23,4.49,4.18,4.49,12,15,4.3213
70,2023-05-01 04:00:00,1682913600000,4.45,4.49,4.25,4.25,9,13,4.4223
71,2023-05-02 04:00:00,1683000000000,3.24,3.43,3.24,3.43,4,57,3.257
72,2023-05-03 04:00:00,1683086400000,3.64,3.78,3.64,3.68,4,6,3.7267
73,2023-05-04 04:00:00,1683172800000,2.84,2.87,2.62,2.87,21,36,2.7128
74,2023-05-05 04:00:00,1683259200000,3.25,3.79,3.25,3.65,11,24,3.5158
75,2023-05-08 04:00:00,1683518400000,3.54,3.64,3.54,3.64,3,5,3.56
76,2023-05-10 04:00:00,1683691200000,3.04,3.21,3.04,3.21,2,3,3.0967
77,2023-05-11 04:00:00,1683777600000,3.06,3.06,3.06,3.06,1,1,3.06
78,2023-05-12 04:00:00,1683864000000,3.15,3.15,2.93,2.93,2,4,3.095
79,2023-05-15 04:00:00,1684123200000,2.8,3.04,2.8,2.87,9,100,2.9661
80,2023-05-17 04:00:00,1684296000000,2.8,3.15,2.67,3.15,14,233,2.8048
81,2023-05-18 04:00:00,1684382400000,3.36,3.6,3.23,3.55,9,15,3.4587
82,2023-05-19 04:00:00,1684468800000,4.03,4.06,3.72,3.8,9,104,3.8884
83,2023-05-22 04:00:00,1684728000000,3.81,3.81,3.81,3.81,1,2,3.81
84,2023-05-23 04:00:00,1684814400000,3.5,3.57,3.0,3.0,14,54,3.1857
85,2023-05-24 04:00:00,1684900800000,2.73,2.73,2.5,2.53,15,64,2.5484
86,2023-05-26 04:00:00,1685073600000,3.01,3.87,3.01,3.87,11,24,3.615
87,2023-05-30 04:00:00,1685419200000,4.05,4.05,3.7,3.71,10,10,3.888
88,2023-05-31 04:00:00,1685505600000,3.37,3.37,3.15,3.15,27,44,3.2489
89,2023-06-01 04:00:00,1685592000000,3.28,3.75,3.28,3.75,9,10,3.524
90,2023-06-02 04:00:00,1685678400000,4.2,5.01,4.2,4.96,25,226,4.6642
91,2023-06-05 04:00:00,1685937600000,5.21,5.28,4.77,4.77,28,145,5.1202
92,2023-06-06 04:00:00,1686024000000,4.6,4.69,4.3,4.46,13,73,4.5533
93,2023-06-07 04:00:00,1686110400000,4.35,4.35,4.35,4.35,1,1,4.35
94,2023-06-08 04:00:00,1686196800000,4.23,4.45,4.23,4.45,27,150,4.3772
95,2023-06-09 04:00:00,1686283200000,4.92,5.21,4.6,4.7,26,70,4.8524
96,2023-06-12 04:00:00,1686542400000,4.91,5.55,4.75,5.55,11,25,5.292
