,date,timestamp,open,high,low,close,num_trans,volume,vwap
0,2023-10-05 04:00:00,1696478400000,3.93,3.99,3.93,3.99,3,3,3.95
1,2023-10-06 04:00:00,1696564800000,5.11,5.11,5.11,5.11,1,1,5.11
2,2023-10-09 04:00:00,1696824000000,5.1,6.11,5.1,6.11,3,3,5.4467
3,2023-10-10 04:00:00,1696910400000,6.41,7.33,6.41,6.5,11,45,7.228
4,2023-10-11 04:00:00,1696996800000,6.95,6.95,6.44,6.44,2,2,6.695
5,2023-10-12 04:00:00,1697083200000,6.94,7.14,6.94,7.02,3,3,7.0333
6,2023-10-13 04:00:00,1697169600000,5.7,5.7,5.14,5.14,4,14,5.4521
7,2023-10-16 04:00:00,1697428800000,6.01,6.01,5.92,5.92,2,4,5.9875
8,2023-10-17 04:00:00,1697515200000,5.33,5.33,5.33,5.33,1,1,5.33
9,2023-10-18 04:00:00,1697601600000,4.96,4.96,4.41,4.41,3,12,4.4808
10,2023-10-19 04:00:00,1697688000000,4.39,4.39,3.64,3.67,6,9,3.9356
11,2023-10-20 04:00:00,1697774400000,2.61,2.89,2.55,2.55,3,3,2.6833
12,2023-10-23 04:00:00,1698033600000,2.27,2.82,2.27,2.7,10,45,2.5938
13,2023-10-24 04:00:00,1698120000000,2.82,2.82,2.58,2.58,2,2,2.7
14,2023-10-25 04:00:00,1698206400000,1.92,1.92,1.6,1.6,9,216,1.7294
15,2023-10-26 04:00:00,1698292800000,1.28,1.28,1.04,1.18,16,38,1.1534
16,2023-10-27 04:00:00,1698379200000,1.1,1.18,0.97,0.97,6,19,1.0368
17,2023-10-30 04:00:00,1698638400000,1.07,1.18,1.07,1.15,8,13,1.1423
18,2023-10-31 04:00:00,1698724800000,1.03,1.03,0.97,1.01,8,18,1.0061
