,date,timestamp,open,high,low,close,num_trans,volume,vwap
0,2023-04-14 04:00:00,1681444800000,13.6,13.6,13.6,13.6,1,1,13.6
1,2023-04-18 04:00:00,1681790400000,13.49,13.49,13.49,13.49,1,1,13.49
2,2023-04-19 04:00:00,1681876800000,12.36,12.36,12.36,12.36,1,1,12.36
3,2023-04-26 04:00:00,1682481600000,12.85,12.85,12.85,12.85,1,1,12.85
4,2023-04-27 04:00:00,1682568000000,11.54,11.54,11.54,11.54,1,1,11.54
5,2023-05-02 04:00:00,1683000000000,13.0,13.0,13.0,13.0,1,2,13.0
6,2023-05-04 04:00:00,1683172800000,15.75,15.75,15.75,15.75,1,2,15.75
7,2023-05-24 04:00:00,1684900800000,9.46,9.46,9.46,9.46,1,1,9.46
8,2023-05-25 04:00:00,1684987200000,8.44,8.44,8.44,8.44,1,1,8.44
9,2023-06-01 04:00:00,1685592000000,9.2,9.2,9.2,9.2,1,1,9.2
10,2023-06-12 04:00:00,1686542400000,7.6,7.68,7.6,7.64,5,15,7.6147
11,2023-06-13 04:00:00,1686628800000,6.84,6.84,6.84,6.84,1,2,6.84
12,2023-06-21 04:00:00,1687320000000,6.0,6.0,6.0,6.0,1,2,6.0
13,2023-06-27 04:00:00,1687838400000,5.12,5.12,5.12,5.12,1,1,5.12
14,2023-07-06 04:00:00,1688616000000,4.47,4.47,4.47,4.47,1,1,4.47
15,2023-07-10 04:00:00,1688961600000,4.87,4.9,4.87,4.9,4,42,4.8986
16,2023-07-12 04:00:00,1689134400000,6.0,6.0,6.0,6.0,1,1,6.0
17,2023-07-20 04:00:00,1689825600000,6.45,6.55,6.4,6.55,4,6,6.4833
18,2023-07-21 04:00:00,1689912000000,6.0,6.0,5.95,6.0,3,3,5.9833
19,2023-07-24 04:00:00,1690171200000,5.95,5.95,5.55,5.55,10,29,5.6362
20,2023-07-25 04:00:00,1690257600000,5.59,5.59,5.59,5.59,1,1,5.59
21,2023-07-26 04:00:00,1690344000000,6.09,6.09,6.0,6.0,2,2,6.045
22,2023-07-27 04:00:00,1690430400000,5.4,5.4,4.95,5.0,9,12,5.1875
23,2023-07-28 04:00:00,1690516800000,5.65,5.65,5.65,5.65,1,1,5.65
24,2023-07-31 04:00:00,1690776000000,5.85,5.87,5.85,5.86,5,6,5.86
25,2023-08-01 04:00:00,1690862400000,4.75,4.75,4.75,4.75,5,5,4.75
26,2023-08-04 04:00:00,1691121600000,4.6,4.6,4.55,4.55,5,10,4.575
27,2023-08-07 04:00:00,1691380800000,4.33,4.33,4.1,4.3,3,3,4.2433
28,2023-08-11 04:00:00,1691726400000,3.37,3.37,3.25,3.25,5,34,3.2782
29,2023-08-15 04:00:00,1692072000000,3.05,3.05,2.84,2.84,4,5,2.956
30,2023-08-16 04:00:00,1692158400000,2.86,2.86,2.86,2.86,2,2,2.86
31,2023-08-17 04:00:00,1692244800000,2.49,2.49,2.36,2.44,9,52,2.4169
32,2023-08-18 04:00:00,1692331200000,2.4,2.4,2.4,2.4,1,1,2.4
33,2023-08-23 04:00:00,1692763200000,3.14,3.14,3.14,3.14,1,30,3.14
34,2023-08-24 04:00:00,1692849600000,3.15,3.15,3.15,3.15,1,2,3.15
35,2023-08-25 04:00:00,1692936000000,2.56,2.78,2.56,2.78,2,37,2.5897
36,2023-08-30 04:00:00,1693368000000,3.6,3.6,3.6,3.6,1,1,3.6
37,2023-08-31 04:00:00,1693454400000,3.5,3.5,3.5,3.5,1,10,3.5
38,2023-09-05 04:00:00,1693886400000,2.61,2.61,2.61,2.61,1,1,2.61
39,2023-09-14 04:00:00,1694664000000,1.68,1.68,1.68,1.68,1,3,1.68
40,2023-09-15 04:00:00,1694750400000,2.12,2.24,2.12,2.24,6,27,2.2089
41,2023-09-21 04:00:00,1695268800000,1.91,1.91,1.91,1.91,1,15,1.91
42,2023-09-22 04:00:00,1695355200000,1.96,1.98,1.88,1.88,5,13,1.9646
43,2023-09-25 04:00:00,1695614400000,1.63,1.68,1.63,1.68,5,37,1.6422
44,2023-09-26 04:00:00,1695700800000,1.46,1.46,1.37,1.37,3,70,1.415
45,2023-09-27 04:00:00,1695787200000,1.13,1.14,1.04,1.04,4,87,1.0894
46,2023-09-28 04:00:00,1695873600000,0.98,0.98,0.8,0.8,4,90,0.8978
47,2023-09-29 04:00:00,1695960000000,0.82,0.82,0.82,0.82,2,10,0.82
48,2023-10-02 04:00:00,1696219200000,0.51,0.55,0.51,0.55,3,87,0.5362
49,2023-10-05 04:00:00,1696478400000,0.48,0.48,0.48,0.48,1,1,0.48
50,2023-10-11 04:00:00,1696996800000,0.96,1.0,0.96,1.0,4,17,0.99
51,2023-10-13 04:00:00,1697169600000,2.64,2.64,2.64,2.64,1,5,2.64
52,2023-10-17 04:00:00,1697515200000,2.38,2.38,2.38,2.38,1,4,2.38
53,2023-10-18 04:00:00,1697601600000,3.59,3.59,3.11,3.11,2,2,3.35
54,2023-10-19 04:00:00,1697688000000,2.87,4.0,2.87,3.95,9,57,3.2574
55,2023-10-20 04:00:00,1697774400000,4.38,4.8,4.37,4.41,4,6,4.4517
56,2023-10-23 04:00:00,1698033600000,3.9,3.9,3.77,3.77,3,10,3.811
57,2023-10-24 04:00:00,1698120000000,3.05,3.25,3.0,3.25,4,194,3.0518
58,2023-10-25 04:00:00,1698206400000,3.9,3.95,3.9,3.95,4,6,3.9167
59,2023-10-26 04:00:00,1698292800000,3.95,3.95,3.95,3.95,1,1,3.95
60,2023-10-27 04:00:00,1698379200000,3.7,5.16,3.7,5.06,9,37,5.0597
61,2023-10-31 04:00:00,1698724800000,3.6,3.72,3.6,3.7,4,34,3.6588
