,date,timestamp,open,high,low,close,num_trans,volume,vwap
0,2023-01-25 05:00:00,1674622800000,2.0,2.0,2.0,2.0,1,8,2.0
1,2023-01-27 05:00:00,1674795600000,2.71,2.71,2.71,2.71,1,1,2.71
2,2023-02-02 05:00:00,1675314000000,4.22,6.0,4.22,5.52,7,15,5.196
3,2023-02-06 05:00:00,1675659600000,4.64,4.64,4.64,4.64,1,1,4.64
4,2023-02-08 05:00:00,1675832400000,5.12,5.12,5.04,5.04,2,2,5.08
5,2023-02-16 05:00:00,1676523600000,4.76,4.76,4.76,4.76,1,1,4.76
6,2023-03-01 05:00:00,1677646800000,2.43,2.43,2.43,2.43,1,1,2.43
7,2023-03-02 05:00:00,1677733200000,2.25,2.25,2.25,2.25,1,1,2.25
8,2023-03-06 05:00:00,1678078800000,3.39,3.39,3.39,3.39,1,1,3.39
9,2023-03-15 04:00:00,1678852800000,2.77,2.77,2.77,2.77,1,1,2.77
10,2023-03-16 04:00:00,1678939200000,3.37,4.08,3.37,4.08,3,3,3.7267
11,2023-03-17 04:00:00,1679025600000,4.25,4.26,4.25,4.26,3,70,4.259
12,2023-03-21 04:00:00,1679371200000,4.8,4.8,4.8,4.8,1,70,4.8
13,2023-03-22 04:00:00,1679457600000,4.84,4.84,4.84,4.84,1,10,4.84
14,2023-04-05 04:00:00,1680667200000,4.99,4.99,4.99,4.99,1,1,4.99
15,2023-04-10 04:00:00,1681099200000,5.01,5.01,5.01,5.01,1,1,5.01
16,2023-04-11 04:00:00,1681185600000,5.02,5.02,5.02,5.02,1,1,5.02
17,2023-04-19 04:00:00,1681876800000,4.68,4.68,4.68,4.68,1,2,4.68
18,2023-04-20 04:00:00,1681963200000,4.18,4.18,4.18,4.18,1,14,4.18
19,2023-04-24 04:00:00,1682308800000,3.62,3.62,3.62,3.62,1,14,3.62
20,2023-04-27 04:00:00,1682568000000,4.36,4.51,4.36,4.5,3,3,4.4567
21,2023-04-28 04:00:00,1682654400000,4.71,4.71,4.67,4.67,2,22,4.69
22,2023-05-01 04:00:00,1682913600000,4.63,4.63,4.63,4.63,1,4,4.63
23,2023-05-08 04:00:00,1683518400000,4.68,4.68,4.68,4.68,1,1,4.68
24,2023-05-10 04:00:00,1683691200000,4.93,4.93,4.93,4.93,1,1,4.93
25,2023-05-12 04:00:00,1683864000000,5.0,5.0,4.52,4.52,2,16,4.76
26,2023-05-16 04:00:00,1684209600000,5.05,5.05,5.05,5.05,1,8,5.05
27,2023-05-18 04:00:00,1684382400000,6.55,7.24,6.41,7.24,15,42,6.4974
28,2023-05-19 04:00:00,1684468800000,7.32,7.32,6.97,6.97,2,11,7.0018
29,2023-05-23 04:00:00,1684814400000,6.63,6.63,6.63,6.63,1,10,6.63
30,2023-05-24 04:00:00,1684900800000,5.7,5.7,5.7,5.7,1,1,5.7
31,2023-05-25 04:00:00,1684987200000,8.01,8.62,7.54,8.48,21,42,8.3905
32,2023-05-26 04:00:00,1685073600000,9.3,12.32,9.3,12.32,7,27,11.4844
