Date,Open,High,Low,Close,Adj Close,Volume
2023-03-10,390.989990,393.160004,384.320007,385.910004,381.673706,189253000
2023-03-13,381.809998,390.390015,380.649994,385.359985,381.129730,157790000
2023-03-14,390.500000,393.450012,387.049988,391.730011,387.429810,149752400
2023-03-15,385.890015,389.489990,383.709991,389.279999,385.006714,172996900
2023-03-16,386.820007,396.470001,386.290009,396.109985,391.761719,143254200
2023-03-17,393.220001,394.399994,388.549988,389.989990,387.180969,140553400
2023-03-20,390.799988,394.170013,390.070007,393.739990,390.903961,93055800
2023-03-21,397.239990,399.410004,395.579987,398.910004,396.036713,91524200
2023-03-22,398.730011,402.489990,392.070007,392.109985,389.285706,111746600
2023-03-23,395.089996,399.290009,390.350006,393.170013,390.338104,119351300
2023-03-24,391.839996,395.839996,389.399994,395.750000,392.899475,107682400
2023-03-27,398.119995,398.920013,395.559998,396.489990,393.634155,74010400
2023-03-28,395.769989,396.489990,393.690002,395.600006,392.750580,62871700
2023-03-29,399.929993,401.600006,398.679993,401.350006,398.459167,77497900
2023-03-30,404.089996,404.350006,401.760010,403.700012,400.792267,69840000
2023-03-31,404.660004,409.700012,404.549988,409.390015,406.441254,112062600
2023-04-03,408.850006,411.369995,408.440002,410.950012,407.990021,67391100
2023-04-04,411.619995,411.920013,407.239990,408.670013,405.726440,66601500
2023-04-05,407.910004,408.700012,405.880005,407.600006,404.664154,65200200
2023-04-06,406.769989,409.480011,405.679993,409.190002,406.242676,63743300
2023-04-10,406.609985,409.690002,405.970001,409.609985,406.659637,63681000
2023-04-11,410.260010,411.179993,408.920013,409.720001,406.768860,59297900
2023-04-12,411.869995,412.170013,407.440002,408.049988,405.110901,86420400
2023-04-13,409.179993,413.839996,407.989990,413.470001,410.491852,85814800
2023-04-14,412.809998,415.089996,410.059998,412.459991,409.489136,78161500
2023-04-17,412.369995,413.959991,411.089996,413.940002,410.958466,66436400
2023-04-18,415.579987,415.720001,412.779999,414.209991,411.226532,63560000
2023-04-19,412.220001,415.079987,412.160004,414.140015,411.157043,55227300
2023-04-20,411.209991,413.700012,410.269989,411.880005,408.913330,75840400
2023-04-21,412.190002,412.679993,410.170013,412.200012,409.231018,73457400
2023-04-24,411.989990,413.070007,410.600006,412.630005,409.657898,64332100
2023-04-25,410.579987,411.160004,406.019989,406.079987,403.155090,97766700
2023-04-26,406.720001,407.839996,403.779999,404.359985,401.447479,80447000
2023-04-27,407.000000,412.690002,406.739990,412.410004,409.439514,92968400
2023-04-28,411.489990,415.940002,411.429993,415.929993,412.934143,89335600
2023-05-01,415.470001,417.619995,415.269989,415.510010,412.517151,62122300
2023-05-02,414.769989,414.820007,407.820007,410.839996,407.880798,103998500
2023-05-03,411.359985,413.869995,407.769989,408.019989,405.081116,91531800
2023-05-04,406.929993,407.269989,403.739990,405.130005,402.211945,94901900
2023-05-05,408.910004,413.720001,408.640015,412.630005,409.657898,87844000
2023-05-08,412.970001,413.239990,411.279999,412.739990,409.767120,50046800
2023-05-09,411.130005,412.089996,410.690002,410.929993,407.970154,49220100
2023-05-10,413.880005,414.540009,408.869995,412.850006,409.876343,96142900
2023-05-11,411.950012,412.429993,409.970001,412.130005,409.161530,70157100
2023-05-12,413.420013,413.640015,409.070007,411.589996,408.625397,70439400
