,date,timestamp,open,high,low,close,num_trans,volume,vwap
0,2023-10-20 04:00:00,1697774400000,1.77,1.77,1.43,1.43,3,5,1.5
1,2023-10-23 04:00:00,1698033600000,1.37,1.37,1.37,1.37,3,3,1.37
2,2023-10-25 04:00:00,1698206400000,1.02,1.03,0.95,0.95,11,238,1.0126
3,2023-10-26 04:00:00,1698292800000,0.61,0.62,0.51,0.51,5,82,0.6111
4,2023-10-27 04:00:00,1698379200000,0.51,0.51,0.51,0.51,1,3,0.51
5,2023-10-30 04:00:00,1698638400000,0.53,0.54,0.53,0.54,2,2,0.535
6,2023-10-31 04:00:00,1698724800000,0.46,0.46,0.46,0.46,1,5,0.46
