,date,timestamp,open,high,low,close,num_trans,volume,vwap
0,2023-01-03 05:00:00,1672722000000,10.5,10.5,9.77,9.77,3,7,10.1814
1,2023-01-04 05:00:00,1672808400000,9.95,10.9,9.82,10.5,17,97,9.9541
2,2023-01-05 05:00:00,1672894800000,9.49,9.59,9.4,9.4,5,9,9.4511
3,2023-01-06 05:00:00,1672981200000,10.68,11.75,10.66,11.75,5,13,11.2054
4,2023-01-09 05:00:00,1673240400000,11.77,13.0,10.86,10.86,4,5,11.626
5,2023-01-10 05:00:00,1673326800000,10.69,10.69,10.69,10.69,1,1,10.69
6,2023-01-11 05:00:00,1673413200000,12.5,13.45,12.42,12.6,9,16,12.7825
7,2023-01-12 05:00:00,1673499600000,12.27,13.3,12.27,13.3,3,3,12.8567
8,2023-01-13 05:00:00,1673586000000,12.08,12.75,12.08,12.75,2,12,12.1358
9,2023-01-17 05:00:00,1673931600000,12.0,12.0,12.0,12.0,1,1,12.0
10,2023-01-18 05:00:00,1674018000000,10.32,10.35,10.32,10.35,11,11,10.3473
11,2023-01-19 05:00:00,1674104400000,8.72,9.3,8.72,8.99,5,11,8.9473
12,2023-01-20 05:00:00,1674190800000,8.94,9.08,8.94,9.08,2,2,9.01
13,2023-01-23 05:00:00,1674450000000,12.0,12.35,12.0,12.35,2,2,12.175
14,2023-01-24 05:00:00,1674536400000,11.39,11.39,11.39,11.39,1,1,11.39
15,2023-01-25 05:00:00,1674622800000,9.9,10.55,9.5,10.55,9,9,9.7556
16,2023-01-26 05:00:00,1674709200000,10.94,11.6,10.88,11.6,7,25,11.0864
17,2023-01-27 05:00:00,1674795600000,11.83,13.05,11.77,13.05,8,25,12.0192
18,2023-01-30 05:00:00,1675054800000,11.85,12.06,10.7,10.7,6,37,11.5908
19,2023-01-31 05:00:00,1675141200000,10.8,11.75,10.51,11.75,4,18,10.7478
20,2023-02-01 05:00:00,1675227600000,11.9,15.0,11.9,15.0,2,11,12.1818
21,2023-02-02 05:00:00,1675314000000,15.17,17.5,15.17,16.0,13,13,16.1331
22,2023-02-03 05:00:00,1675400400000,17.0,17.25,14.9,14.9,4,8,15.5
23,2023-02-06 05:00:00,1675659600000,14.28,14.5,13.88,13.88,7,14,14.1179
24,2023-02-07 05:00:00,1675746000000,13.6,16.21,13.6,16.21,9,27,14.4474
25,2023-02-08 05:00:00,1675832400000,16.0,16.0,14.69,14.76,5,9,15.5
26,2023-02-09 05:00:00,1675918800000,14.56,14.56,14.56,14.56,1,2,14.56
