,date,timestamp,open,high,low,close,num_trans,volume,vwap
0,2023-10-04 04:00:00,1696392000000,3.35,3.35,3.35,3.35,1,12,3.35
1,2023-10-05 04:00:00,1696478400000,3.0,3.0,3.0,3.0,1,1,3.0
2,2023-10-06 04:00:00,1696564800000,3.99,3.99,3.99,3.99,5,45,3.99
3,2023-10-09 04:00:00,1696824000000,3.83,4.08,3.83,4.08,2,42,3.8538
4,2023-10-10 04:00:00,1696910400000,5.85,5.85,5.85,5.85,1,17,5.85
5,2023-10-11 04:00:00,1696996800000,5.6,5.6,5.6,5.6,1,4,5.6
6,2023-10-12 04:00:00,1697083200000,5.86,5.86,5.54,5.54,2,81,5.544
7,2023-10-13 04:00:00,1697169600000,4.39,4.39,4.39,4.39,1,2,4.39
8,2023-10-16 04:00:00,1697428800000,4.57,4.83,4.57,4.83,3,3,4.6767
9,2023-10-17 04:00:00,1697515200000,3.76,3.76,3.63,3.63,4,28,3.6432
10,2023-10-18 04:00:00,1697601600000,4.09,4.09,3.27,3.27,3,4,3.5875
11,2023-10-19 04:00:00,1697688000000,3.35,3.35,3.06,3.06,5,83,3.3422
12,2023-10-20 04:00:00,1697774400000,2.42,2.45,2.04,2.08,8,24,2.2312
13,2023-10-23 04:00:00,1698033600000,1.8,1.95,1.8,1.95,2,3,1.9
14,2023-10-24 04:00:00,1698120000000,1.97,2.11,1.97,2.0,8,11,2.0091
15,2023-10-25 04:00:00,1698206400000,1.43,1.43,0.01,1.2,5,10,0.832
16,2023-10-26 04:00:00,1698292800000,0.96,0.96,0.72,0.72,7,12,0.8242
17,2023-10-27 04:00:00,1698379200000,0.69,0.69,0.69,0.69,1,1,0.69
18,2023-10-31 04:00:00,1698724800000,0.69,0.69,0.69,0.69,3,3,0.69
